+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
+     Fluorescense progressions used for the fit of the potentials published in the
+     article 'The 1S+1S asymptote of Sr2 studied by Fourier-transform spectroscopy' 
+   
+
+  A. Stein, H. Knoeckel, E. Tiemann
+  Institut fuer Quantenoptik, Universitaet Hannover, Welfengarten 1,
+  30167 Hannover, Germany
+   
+
+  2006-2010 Hannover
+
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++


Notations:

Isotope 1 and 2:  mass numbers of the isotopes

v', J', v", J":   vibrational and rotational quantum numbers of the excited and
                  absorbing level, respectively. 
				  v'=-1 means that the vibrational quantum number of the excited 
				  state is not assigned until now or that the transition belongs 
				  to a different excited state. PA means that the transitions is 
                  a PA resonance taken from Phys. Rev. A 78, 062708 (2008)				  

line frequency:   frequency of transition [cm-1]

uncertainty:      The estimated experimental uncertainty of transition [cm-1] 

obs-calc:         observed minus calculated values for the potential fit of the ground state 


 Isotope 1   Isotope 2   v'  J'  v''  J''   line frequency   uncertainty  obs-calc
        86          88   1   44  26    43       16709.4792        0.010   -0.0038
        86          88   1   44  26    45       16707.2803        0.005    0.0043
        86          88   1   44  27    43       16690.5018        0.005   -0.0015
        86          88   1   44  27    45       16688.3259        0.010   -0.0129
        86          88   1   44  28    43       16672.2604        0.005   -0.0112
        86          88   1   44  28    45       16670.1521        0.005    0.0019
        86          88   1  102   3   103       17397.6632        0.010   -0.0124
        86          88   1  102   4   101       17369.1198        0.005   -0.0075
        86          88   1  102   4   103       17362.3068        0.005    0.0107
        86          88   1  102   5   101       17334.5008        0.005    0.0030
        86          88   1  102   5   103       17327.7431        0.005   -0.0010
        86          88   1  102   6   101       17300.6942        0.005    0.0005
        86          88   1  102   6   103       17294.0256        0.005    0.0072
        86          88   1  102   7   101       17267.7085        0.010   -0.0054
        86          88   1  102   7   103       17261.1187        0.005    0.0008
        86          88   1  102   8   101       17235.5572        0.005    0.0003
        86          88   1  102   8   103       17229.0435        0.010    0.0022
        86          88   1  102   9   101       17204.2178        0.010   -0.0035
        86          88   1  102   9   103       17197.7914        0.010    0.0043
        86          88   1  102  10   101       17173.7010        0.005   -0.0044
        86          88   1  102  10   103       17167.3655        0.010    0.0120
        86          88   1  102  11   101       17144.0023        0.010   -0.0050
        86          88   1  102  11   103       17137.7328        0.005   -0.0061
        86          88   1  102  20   101       16913.1856        0.005   -0.0079
        86          88   1  102  20   103       16907.7281        0.005   -0.0015
        86          88   1  102  21   101       16891.5707        0.010    0.0096
        86          88   1  102  21   103       16886.1881        0.005   -0.0054
        86          88   1  102  22   101       16870.7275        0.005    0.0035
        86          88   1  102  22   103       16865.4633        0.005    0.0090
        86          88   1  102  23   101       16850.6817        0.010    0.0011
        86          88   1  102  23   103       16845.5158        0.010    0.0054
        86          88   1  102  24   101       16831.4240        0.005   -0.0051
        86          88   1  102  24   103       16826.3631        0.010    0.0027
        86          88   1  102  25   101       16812.9885        0.010    0.0202
        86          88   1  102  25   103       16808.0100        0.005    0.0070
        86          88   1  102  27   101       16778.4134        0.005   -0.0005
        86          88   1  102  27   103       16773.6515        0.005   -0.0104
        86          88   1  109   2   108       17448.4636        0.010   -0.0015
        86          88   1  109   2   110       17441.0320        0.005    0.0071
        86          88   1  109   3   108       17412.4535        0.005    0.0000
        86          88   1  109   3   110       17405.0870        0.005   -0.0075
        86          88   1  109   8   110       17237.9117        0.010    0.0125
        86          88   1  109  18   108       16971.2399        0.005    0.0007
        86          88   1  109  18   110       16965.2327        0.005   -0.0013
        86          88   1  109  19   108       16948.3422        0.005   -0.0040
        86          88   1  109  19   110       16942.4410        0.005   -0.0008
        86          88   1  109  20   108       16926.2580        0.005    0.0003
        86          88   1  109  20   110       16920.4574        0.010    0.0016
        86          88   1  109  21   108       16904.9687        0.005   -0.0033
        86          88   1  109  21   110       16899.2737        0.005   -0.0007
        86          88   1  109  22   108       16884.4926        0.005    0.0049
        86          88   1  109  22   110       16878.8960        0.005   -0.0001
        86          88   1  109  23   108       16864.8030        0.005   -0.0003
        86          88   1  109  23   110       16859.3203        0.010    0.0005
        86          88   1  109  24   108       16845.9232        0.010    0.0055
        86          88   1  109  24   110       16840.5424        0.005   -0.0019
        86          88   1  109  25   108       16827.8266        0.005   -0.0033
        86          88   1  109  25   110       16822.5701        0.010    0.0011
        86          88   1  109  26   110       16805.3907        0.005   -0.0026
        86          88   1  109  27   108       16794.0466        0.010    0.0010
        86          88   1  109  27   110       16789.0193        0.005    0.0022
        86          88   1  109  28   108       16778.3536        0.010    0.0048
        86          88   1  109  28   110       16773.4448        0.005    0.0041
        86          88   1  112   3   111       17416.0002        0.010   -0.0059
        86          88   1  112   3   113       17408.4552        0.005    0.0002
        86          88   1  112   4   111       17380.9523        0.005    0.0032
        86          88   1  112   4   113       17373.4810        0.005   -0.0017
        86          88   1  112   5   111       17346.7240        0.005    0.0005
        86          88   1  112   5   113       17339.3430        0.005    0.0000
        86          88   1  112   6   111       17313.3288        0.005    0.0004
        86          88   1  112   6   113       17306.0348        0.005    0.0000
        86          88   1  112   7   111       17280.7784        0.005    0.0158
        86          88   1  112   7   113       17273.5549        0.005   -0.0022
        86          88   1  112   8   111       17249.0253        0.005    0.0003
        86          88   1  112   8   113       17241.9086        0.010   -0.0001
        86          88   1  112   9   111       17218.1155        0.005    0.0014
        86          88   1  112   9   113       17211.0786        0.010   -0.0095
        86          88   1  112  10   111       17188.0311        0.005    0.0028
        86          88   1  112  10   113       17181.0931        0.010   -0.0008
        86          88   1  112  11   111       17158.7694        0.005    0.0034
        86          88   1  112  11   113       17151.9275        0.010    0.0032
        86          88   1  112  12   111       17130.3314        0.005    0.0060
        86          88   1  112  12   113       17123.5737        0.010   -0.0041
        86          88   1  112  18   111       16976.8346        0.010    0.0015
        86          88   1  112  18   113       16970.6711        0.005   -0.0074
        86          88   1  112  19   111       16954.0905        0.005   -0.0017
        86          88   1  112  19   113       16948.0379        0.005   -0.0039
        86          88   1  112  20   111       16932.1578        0.005   -0.0005
        86          88   1  112  20   113       16926.2146        0.005    0.0008
        86          88   1  112  21   111       16911.0298        0.005   -0.0001
        86          88   1  112  21   113       16905.1927        0.005   -0.0005
        86          88   1  112  22   111       16890.7101        0.005    0.0045
        86          88   1  112  22   113       16884.9786        0.005    0.0000
        86          88   1  112  23   111       16871.1841        0.005   -0.0001
        86          88   1  112  23   113       16865.5720        0.005    0.0029
        86          88   1  112  24   111       16852.4632        0.005   -0.0016
        86          88   1  112  24   113       16846.9610        0.005   -0.0027
        86          88   1  112  25   111       16834.5471        0.005    0.0004
        86          88   1  112  25   113       16829.1532        0.005   -0.0089
        86          88   1  112  26   111       16817.4319        0.005    0.0024
        86          88   1  112  26   113       16812.1606        0.005   -0.0033
        86          88   1  112  27   111       16801.1209        0.005    0.0078
        86          88   1  112  27   113       16795.9718        0.005    0.0023
        86          88   1  112  28   111       16785.5971        0.005   -0.0010
        86          88   1  112  28   113       16780.5795        0.010    0.0000
        86          88   1  112  29   111       16770.8852        0.005   -0.0001
        86          88   1  112  29   113       16765.9969        0.005    0.0017
        86          88   1  112  30   111       16756.9769        0.005    0.0006
        86          88   1  112  30   113       16752.2201        0.005    0.0017
        86          88   1  112  31   111       16743.8652        0.005   -0.0080
        86          88   1  112  31   113       16739.2532        0.005    0.0014
